sID	Dimensions	Transformation	Side	Variable	Value	Attention_Confirmation	Age	Sex	Duration (sek)
1383	3D	180_rot	left	selection	2	1	31	2	83
1397	3D	180_rot	left	selection	2	1	24	2	67
1411	3D	180_rot	left	selection	2	1	24	1	162
1438	3D	180_rot	left	selection	2	1	26	2	148
1439	3D	180_rot	left	selection	2	1	22	1	203
1467	3D	180_rot	left	selection	1	1	35	1	438
1475	3D	180_rot	left	selection	2	1	32	2	274
1493	3D	180_rot	left	selection	2	1	33	2	86
1508	3D	180_rot	left	selection	2	1	34	1	174
1509	3D	180_rot	left	selection	2	1	20	2	49
1519	3D	180_rot	left	selection	2	1	18	1	39
1538	3D	180_rot	left	selection	2	1	19	2	62
1559	3D	180_rot	left	selection	2	1	31	2	73
1576	3D	180_rot	left	selection	2	1	25	2	60
1587	3D	180_rot	left	selection	2	1	48	2	97
1607	3D	180_rot	left	selection	2	1	52	1	73
1622	3D	180_rot	left	selection	2	1	29	1	67
1636	3D	180_rot	left	selection	2	1	27	2	165
1642	3D	180_rot	left	selection	2	1	55	2	131
1657	3D	180_rot	left	selection	1	1	20	2	60
1671	3D	180_rot	left	selection	2	1	29	1	78
1698	3D	180_rot	left	selection	2	1	35	2	60
1707	3D	180_rot	left	selection	2	1	24	2	45
1725	3D	180_rot	left	selection	2	1	36	2	79
1732	3D	180_rot	left	selection	2	1	23	2	133
1743	3D	180_rot	left	selection	2	1	56	2	80
1764	3D	180_rot	left	selection	1	1	54	2	153
1768	3D	180_rot	left	selection	2	1	31	2	64
1789	3D	180_rot	left	selection	1	1	60	2	176
1802	3D	180_rot	left	selection	2	1	21	2	69
1822	3D	180_rot	left	selection	2	1	29	2	105
1824	3D	180_rot	left	selection	2	1	50	2	96
1850	3D	180_rot	left	selection	2	1	21	1	72
1856	3D	180_rot	left	selection	2	1	64	1	134
1871	3D	180_rot	left	selection	1	1	33	1	101
1875	3D	180_rot	left	selection	1	1	20	3	81
1893	3D	180_rot	left	selection	1	1	59	1	99
1910	3D	180_rot	left	selection	2	1	21	1	192
1931	3D	180_rot	left	selection	2	1	33	1	90
1947	3D	180_rot	left	selection	2	1	30	1	96
1950	3D	180_rot	left	selection	2	1	20	3	89
1980	3D	180_rot	left	selection	2	1	36	1	121
1988	3D	180_rot	left	selection	2	1	33	1	69
1998	3D	180_rot	left	selection	2	1	47	1	68
2004	3D	180_rot	left	selection	2	1	33	2	166
2025	3D	180_rot	left	selection	1	1	34	1	150
2031	3D	180_rot	left	selection	2	1	45	2	147
2056	3D	180_rot	left	selection	2	1	23	2	223
2064	3D	180_rot	left	selection	2	1	42	2	87
2085	3D	180_rot	left	selection	2	1	36	1	804
2095	3D	180_rot	left	selection	1	1	53	1	93
2108	3D	180_rot	left	selection	2	1	32	2	98
2126	3D	180_rot	left	selection	2	1	28	2	116
2149	3D	180_rot	left	selection	2	1	37	3	113
2179	3D	180_rot	left	selection	1	1	29	1	85
2181	3D	180_rot	left	selection	1	1	33	1	90
2196	3D	180_rot	left	selection	2	1	30	1	212
2206	3D	180_rot	left	selection	2	1	29	2	54
2226	3D	180_rot	left	selection	1	1	34	1	59
2233	3D	180_rot	left	selection	2	1	33	1	44
2254	3D	180_rot	left	selection	2	1	42	1	190
1388	3D	180_rot	right	selection	1	1	58	2	86
1409	3D	180_rot	right	selection	1	1	29	2	42
1421	3D	180_rot	right	selection	1	1	31	1	84
1436	3D	180_rot	right	selection	1	1	39	2	119
1451	3D	180_rot	right	selection	2	1	31	2	74
1464	3D	180_rot	right	selection	1	1	36	2	183
1466	3D	180_rot	right	selection	1	1	53	1	95
1482	3D	180_rot	right	selection	2	1	20	2	105
1512	3D	180_rot	right	selection	1	1	31	2	109
1517	3D	180_rot	right	selection	2	1	48	1	128
1518	3D	180_rot	right	selection	1	1	18	2	218
1539	3D	180_rot	right	selection	1	1	56	2	100
1557	3D	180_rot	right	selection	2	1	53	2	100
1578	3D	180_rot	right	selection	1	1	58	1	79
1580	3D	180_rot	right	selection	1	1	22	2	121
1613	3D	180_rot	right	selection	2	1	43	2	106
1618	3D	180_rot	right	selection	2	1	35	2	149
1621	3D	180_rot	right	selection	1	1	23	1	39
1649	3D	180_rot	right	selection	2	1	45	2	107
1667	3D	180_rot	right	selection	2	1	66	2	218
1675	3D	180_rot	right	selection	1	1	56	1	78
1684	3D	180_rot	right	selection	1	1	24	2	87
1694	3D	180_rot	right	selection	1	1	40	2	93
1713	3D	180_rot	right	selection	2	1	23	2	214
1733	3D	180_rot	right	selection	1	1	36	2	85
1745	3D	180_rot	right	selection	1	1	38	2	71
1758	3D	180_rot	right	selection	1	1	20	2	79
1782	3D	180_rot	right	selection	1	1	33	2	77
1791	3D	180_rot	right	selection	1	1	34	1	63
1803	3D	180_rot	right	selection	1	1	29	2	88
1805	3D	180_rot	right	selection	1	1	21	1	58
1832	3D	180_rot	right	selection	1	1	38	2	162
1837	3D	180_rot	right	selection	1	1	57	2	112
