sID	Dimensions	Transformation	Side	Variable	Value	Attention_Confirmation	Age	Sex	Duration (sek)
3983	2D	180_rot	left	selection	2	1	20	1	55
3997	2D	180_rot	left	selection	1	1	28	2	96
4012	2D	180_rot	left	selection	2	1	48	1	95
4023	2D	180_rot	left	selection	1	1	30	1	100
4038	2D	180_rot	left	selection	1	1	35	1	282
4056	2D	180_rot	left	selection	2	1	31	2	88
4067	2D	180_rot	left	selection	1	1	37	1	65
4095	2D	180_rot	left	selection	2	1	36	2	205
4111	2D	180_rot	left	selection	2	1	36	1	161
4119	2D	180_rot	left	selection	1	1	34	1	114
4132	2D	180_rot	left	selection	2	1	31	1	110
4153	2D	180_rot	left	selection	2	1	27	2	84
4184	2D	180_rot	left	selection	2	1	49	2	87
4187	2D	180_rot	left	selection	1	1	35	2	647
4191	2D	180_rot	left	selection	2	1	26	2	111
4229	2D	180_rot	left	selection	1	1	23	1	214
4245	2D	180_rot	left	selection	1	1	32	2	94
4255	2D	180_rot	left	selection	1	1	31	1	200
4263	2D	180_rot	left	selection	1	1	25	1	123
4286	2D	180_rot	left	selection	2	1	20	2	101
4299	2D	180_rot	left	selection	2	1	27	1	212
4307	2D	180_rot	left	selection	2	1	21	2	95
4325	2D	180_rot	left	selection	2	1	20	2	120
4336	2D	180_rot	left	selection	2	1	54	1	139
4356	2D	180_rot	left	selection	2	1	62	2	315
4372	2D	180_rot	left	selection	2	1	29	2	120
4385	2D	180_rot	left	selection	2	1	33	1	151
4404	2D	180_rot	left	selection	2	1	22	2	69
4417	2D	180_rot	left	selection	2	1	44	1	79
4428	2D	180_rot	left	selection	2	1	29	1	80
4450	2D	180_rot	left	selection	1	1	29	1	227
4453	2D	180_rot	left	selection	1	1	26	2	149
4477	2D	180_rot	left	selection	2	1	38	2	126
4485	2D	180_rot	left	selection	2	1	21	2	52
4494	2D	180_rot	left	selection	1	1	62	1	145
4521	2D	180_rot	left	selection	2	1	35	2	121
4528	2D	180_rot	left	selection	2	1	38	1	309
4546	2D	180_rot	left	selection	2	1	30	2	92
4549	2D	180_rot	left	selection	2	1	36	2	75
4576	2D	180_rot	left	selection	2	1	34	2	79
4581	2D	180_rot	left	selection	2	1	45	2	163
4598	2D	180_rot	left	selection	1	1	37	1	152
4610	2D	180_rot	left	selection	2	1	27	1	120
4615	2D	180_rot	left	selection	2	1	50	1	276
4643	2D	180_rot	left	selection	2	1	31	1	53
4659	2D	180_rot	left	selection	2	1	37	1	157
4661	2D	180_rot	left	selection	2	1	44	1	86
4677	2D	180_rot	left	selection	1	1	46	2	193
4700	2D	180_rot	left	selection	1	1	36	2	351
4722	2D	180_rot	left	selection	2	1	49	1	87
4724	2D	180_rot	left	selection	2	1	41	1	397
4726	2D	180_rot	left	selection	1	1	22	1	75
4743	2D	180_rot	left	selection	2	1	52	1	109
4770	2D	180_rot	left	selection	2	1	19	2	99
4781	2D	180_rot	left	selection	2	1	46	2	188
4793	2D	180_rot	left	selection	2	1	52	1	115
4812	2D	180_rot	left	selection	2	1	37	1	119
4829	2D	180_rot	left	selection	2	1	38	2	120
4843	2D	180_rot	left	selection	2	1	54	1	116
4854	2D	180_rot	left	selection	2	1	33	1	87
4862	2D	180_rot	left	selection	2	1	26	2	157
3979	2D	180_rot	right	selection	2	1	33	1	173
3998	2D	180_rot	right	selection	1	1	46	2	153
4015	2D	180_rot	right	selection	2	1	23	2	90
4021	2D	180_rot	right	selection	1	1	25	2	88
4042	2D	180_rot	right	selection	1	1	34	1	74
4059	2D	180_rot	right	selection	2	1	22	1	104
4075	2D	180_rot	right	selection	2	1	68	1	142
4089	2D	180_rot	right	selection	2	1	41	1	72
4094	2D	180_rot	right	selection	2	1	56	2	175
4112	2D	180_rot	right	selection	1	1	50	1	253
4129	2D	180_rot	right	selection	1	1	46	2	239
4144	2D	180_rot	right	selection	1	1	32	2	176
4147	2D	180_rot	right	selection	2	1	55	1	71
4172	2D	180_rot	right	selection	2	1	38	2	107
4180	2D	180_rot	right	selection	1	1	58	2	792
4200	2D	180_rot	right	selection	2	1	37	1	85
4217	2D	180_rot	right	selection	1	1	20	1	93
4223	2D	180_rot	right	selection	2	1	24	1	121
4236	2D	180_rot	right	selection	1	1	21	1	46
4253	2D	180_rot	right	selection	2	1	25	2	89
4276	2D	180_rot	right	selection	1	1	27	2	154
4290	2D	180_rot	right	selection	1	1	50	3	181
4293	2D	180_rot	right	selection	2	1	51	2	204
4306	2D	180_rot	right	selection	2	1	20	2	155
4323	2D	180_rot	right	selection	2	1	46	2	58
4345	2D	180_rot	right	selection	2	1	25	2	221
4360	2D	180_rot	right	selection	2	1	42	2	98
4368	2D	180_rot	right	selection	1	1	29	2	98
4389	2D	180_rot	right	selection	1	1	34	3	133
4401	2D	180_rot	right	selection	1	1	54	2	688
4414	2D	180_rot	right	selection	1	1	38	1	108
4429	2D	180_rot	right	selection	1	1	53	1	103
4444	2D	180_rot	right	selection	2	1	29	1	49
4459	2D	180_rot	right	selection	1	1	66	2	159
4474	2D	180_rot	right	selection	2	1	20	1	67
4483	2D	180_rot	right	selection	1	1	35	1	118
4505	2D	180_rot	right	selection	1	1	66	1	78
4515	2D	180_rot	right	selection	1	1	40	2	139
4536	2D	180_rot	right	selection	1	1	23	1	91
4539	2D	180_rot	right	selection	1	1	30	2	132
4557	2D	180_rot	right	selection	2	1	51	2	107
4563	2D	180_rot	right	selection	1	1	30	2	145
4568	2D	180_rot	right	selection	2	1	42	1	227
4603	2D	180_rot	right	selection	2	1	31	2	72
4612	2D	180_rot	right	selection	2	1	42	1	82
4626	2D	180_rot	right	selection	1	1	31	2	231
4642	2D	180_rot	right	selection	1	1	40	2	86
4658	2D	180_rot	right	selection	2	1	56	1	86
4668	2D	180_rot	right	selection	1	1	30	1	108
4693	2D	180_rot	right	selection	2	1	20	1	84
4697	2D	180_rot	right	selection	1	1	33	1	133
4701	2D	180_rot	right	selection	1	1	63	2	330
4721	2D	180_rot	right	selection	2	1	23	1	133
4739	2D	180_rot	right	selection	2	1	18	1	110
4752	2D	180_rot	right	selection	1	1	38	1	71
4763	2D	180_rot	right	selection	1	1	18	2	52
4782	2D	180_rot	right	selection	1	1	25	2	98
4797	2D	180_rot	right	selection	2	1	39	1	149
4820	2D	180_rot	right	selection	2	1	32	1	66
4831	2D	180_rot	right	selection	1	1	23	2	65
4838	2D	180_rot	right	selection	1	1	19	2	80
3990	2D	90_rot	left	selection	1	1	32	1	92
3995	2D	90_rot	left	selection	2	1	19	3	74
4019	2D	90_rot	left	selection	2	1	54	2	98
4022	2D	90_rot	left	selection	2	1	37	2	64
