sID	Condition	Side_initial	Transformation	Side	Variable	Value	Attention_Confirmation	Age	Sex	Tech_errors	Duration (sek)
9	1	left	Y_transl	left	selection	2	1	22	1	-99	113
40	1	left	Y_transl	left	selection	2	1	27	1	-99	171
71	1	left	Y_transl	left	selection	2	1	38	1	i do not recall coming across any errors	219
100	1	left	Y_transl	left	selection	1	1	28	1	none i saw	74
118	1	left	Y_transl	left	selection	1	1	30	1	-99	97
160	1	left	Y_transl	left	selection	1	1	56	1	-99	162
184	1	left	Y_transl	left	selection	2	1	20	2	-99	83
199	1	left	Y_transl	left	selection	2	1	21	2	-99	64
232	1	left	Y_transl	left	selection	1	1	21	3	-99	112
280	1	left	Y_transl	left	selection	1	1	43	1	-99	152
307	1	left	Y_transl	left	selection	2	1	46	2	-99	83
315	1	left	Y_transl	left	selection	2	1	23	2	-99	69
349	1	left	Y_transl	left	selection	2	1	32	2	-99	123
397	1	left	Y_transl	left	selection	1	1	28	2	-99	68
421	1	left	Y_transl	left	selection	2	1	21	1	-99	156
453	1	left	Y_transl	left	selection	1	1	28	1	-99	113
464	1	left	Y_transl	left	selection	2	1	23	2	-99	65
493	1	left	Y_transl	left	selection	2	1	20	2	-99	124
539	1	left	Y_transl	left	selection	1	1	35	2	None	146
561	1	left	Y_transl	left	selection	1	1	18	2	-99	105
593	1	left	Y_transl	left	selection	1	1	56	2	-99	140
615	1	left	Y_transl	left	selection	1	1	58	2	-99	130
632	1	left	Y_transl	left	selection	2	1	24	2	-99	131
683	1	left	Y_transl	left	selection	2	1	33	1	-99	69
685	1	left	Y_transl	left	selection	2	1	31	1	-99	150
712	1	left	Y_transl	left	selection	2	1	24	1	-99	149
771	1	left	Y_transl	left	selection	2	1	42	2	-99	70
776	1	left	Y_transl	left	selection	2	1	26	2	-99	84
822	1	left	Y_transl	left	selection	2	1	52	2	-99	130
831	1	left	Y_transl	left	selection	1	1	26	2	-99	81
883	1	left	Y_transl	left	selection	2	1	25	2	-99	116
7	2	left	Y_transl	right	selection	2	1	25	2	-99	131
56	2	left	Y_transl	right	selection	2	1	32	2	no	129
67	2	left	Y_transl	right	selection	2	1	70	2	-99	154
86	2	left	Y_transl	right	selection	2	1	19	1	-99	65
140	2	left	Y_transl	right	selection	2	1	33	1	-99	103
168	2	left	Y_transl	right	selection	1	1	22	2	-99	251
189	2	left	Y_transl	right	selection	2	1	35	2	-99	98
225	2	left	Y_transl	right	selection	2	1	22	2	-99	59
249	2	left	Y_transl	right	selection	2	1	32	2	NA	119
259	2	left	Y_transl	right	selection	2	1	41	2	none	103
293	2	left	Y_transl	right	selection	2	1	26	1	-99	66
332	2	left	Y_transl	right	selection	1	1	31	2	-99	197
345	2	left	Y_transl	right	selection	1	1	42	2	-99	256
390	2	left	Y_transl	right	selection	2	1	29	2	-99	94
407	2	left	Y_transl	right	selection	2	1	38	2	-99	531
426	2	left	Y_transl	right	selection	2	1	29	1	-99	73
457	2	left	Y_transl	right	selection	2	1	34	2	None	127
502	2	left	Y_transl	right	selection	2	1	20	2	-99	262
527	2	left	Y_transl	right	selection	2	1	21	2	-99	94
567	2	left	Y_transl	right	selection	2	1	28	2	-99	252
576	2	left	Y_transl	right	selection	2	1	24	2	-99	269
622	2	left	Y_transl	right	selection	1	1	27	3	-99	110
647	2	left	Y_transl	right	selection	1	1	39	1	-99	117
661	2	left	Y_transl	right	selection	2	1	28	2	-99	129
697	2	left	Y_transl	right	selection	1	1	24	2	-99	109
737	2	left	Y_transl	right	selection	2	1	20	2	-99	132
744	2	left	Y_transl	right	selection	2	1	21	2	-99	84
799	2	left	Y_transl	right	selection	2	1	26	2	-99	78
819	2	left	Y_transl	right	selection	2	1	58	2	-99	88
832	2	left	Y_transl	right	selection	2	1	31	2	-99	103
872	2	left	Y_transl	right	selection	1	1	20	2	-99	126
16	3	left	Small	left	selection	2	1	32	1	-99	445
39	3	left	Small	left	selection	2	1	22	2	-99	75
61	3	left	Small	left	selection	2	1	23	1	-99	61
89	3	left	Small	left	selection	2	1	70	2	-99	243
131	3	left	Small	left	selection	2	1	25	2	-99	115
165	3	left	Small	left	selection	2	1	35	3	-99	87
217	3	left	Small	left	selection	2	1	35	2	-99	85
245	3	left	Small	left	selection	2	1	42	2	No problems.	184
278	3	left	Small	left	selection	2	1	21	1	-99	115
288	3	left	Small	left	selection	2	1	18	2	-99	87
319	3	left	Small	left	selection	2	1	20	2	-99	93
350	3	left	Small	left	selection	2	1	20	2	N/A	84
400	3	left	Small	left	selection	2	1	42	1	-99	89
412	3	left	Small	left	selection	1	1	44	2	-99	68
451	3	left	Small	left	selection	2	1	36	2	-99	93
460	3	left	Small	left	selection	2	1	34	2	-99	91
501	3	left	Small	left	selection	2	1	19	1	-99	140
526	3	left	Small	left	selection	2	1	33	2	No errors came during the study	194
575	3	left	Small	left	selection	2	1	23	2	-99	108
594	3	left	Small	left	selection	2	1	32	1	-99	153
623	3	left	Small	left	selection	2	1	47	1	-99	106
634	3	left	Small	left	selection	2	1	28	2	-99	99
677	3	left	Small	left	selection	2	1	52	1	-99	192
689	3	left	Small	left	selection	2	1	30	2	-99	103
731	3	left	Small	left	selection	2	1	20	1	THE WAS NO ERRORS IN THE SURVEY AT ALL	249
774	3	left	Small	left	selection	2	1	26	2	-99	126
783	3	left	Small	left	selection	2	1	28	2	-99	77
825	3	left	Small	left	selection	2	1	32	1	-99	78
854	3	left	Small	left	selection	2	1	45	2	-99	157
873	3	left	Small	left	selection	2	1	18	3	-99	92
887	3	left	Small	left	selection	2	1	36	2	-99	65
22	4	left	Small	right	selection	2	1	38	1	-99	80
43	4	left	Small	right	selection	1	1	34	2	-99	94
84	4	left	Small	right	selection	2	1	24	2	there were no problems.	196
111	4	left	Small	right	selection	1	1	20	1	-99	162
139	4	left	Small	right	selection	1	1	20	1	-99	56
144	4	left	Small	right	selection	2	1	38	1	-99	126
187	4	left	Small	right	selection	2	1	34	1	None	106
226	4	left	Small	right	selection	2	1	37	2	-99	99
243	4	left	Small	right	selection	2	1	22	2	no errors.	118
254	4	left	Small	right	selection	1	1	59	1	-99	136
304	4	left	Small	right	selection	2	1	32	2	n.a	147
322	4	left	Small	right	selection	2	1	25	2	-99	82
355	4	left	Small	right	selection	1	1	28	2	-99	61
377	4	left	Small	right	selection	1	1	28	2	-99	62
416	4	left	Small	right	selection	1	1	55	2	No problems, thank you for letting me take part in this survey	144
431	4	left	Small	right	selection	1	1	45	2	-99	80
480	4	left	Small	right	selection	1	1	26	1	-99	98
506	4	left	Small	right	selection	2	1	63	2	-99	289
518	4	left	Small	right	selection	2	1	37	2	-99	348
559	4	left	Small	right	selection	1	1	26	3	-99	110
587	4	left	Small	right	selection	1	1	20	2	-99	127
608	4	left	Small	right	selection	2	1	32	2	N/A	116
