"subj_code","condition","desktop_conf","attent_conf","Ysym_side","test_stimulus","dv_selection","age","gender","tech_issues","dv_selection_rec","Transformation","Side","selection_rec"
"0DGgJeOmPWu0",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,21,"1: male",NA,"not-Ysym","Size","left","Not-Y-Refl."
"0WADdSthzxz1",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,18,"2: female",NA,"not-Ysym","Size","left","Not-Y-Refl."
"3q0dMcshQfv1",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",0,40,"1: male",NA,"Ysym","Size","left","Y-Refl."
"89HcF2oUEjIU",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,25,"1: male","No errors found","not-Ysym","Size","left","Not-Y-Refl."
"90Cpsk7SH8pz",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,40,"2: female",NA,"not-Ysym","Size","left","Not-Y-Refl."
"9qaG04Cayhoy",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,50,"2: female","Severely underpaying. I almost returned it but I was invested in the story.","not-Ysym","Size","left","Not-Y-Refl."
"AtAd0U8oEK4A",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,29,"2: female","none","not-Ysym","Size","left","Not-Y-Refl."
"H2mIawdf3nuP",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,25,"2: female",NA,"not-Ysym","Size","left","Not-Y-Refl."
"IFy65Q0ROtpC",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,28,"1: male",NA,"not-Ysym","Size","left","Not-Y-Refl."
"JCmTgZvRzwND",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,63,"2: female",NA,"not-Ysym","Size","left","Not-Y-Refl."
"MAiVJxBqHgzW",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,29,"2: female","I came across no issues.","not-Ysym","Size","left","Not-Y-Refl."
"NiHfYElxBpuc",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,29,"1: male",NA,"None","Size","left","None"
"PETEOiqNLHgR",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,37,"1: male","NIL","not-Ysym","Size","left","Not-Y-Refl."
"Pus4VtIDJWW8",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,20,"1: male",NA,"not-Ysym","Size","left","Not-Y-Refl."
"TVX5lgK4Mgft",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,36,"1: male","No errors that I could see, maybe the rover on the right didn't pick up the mug properly?","not-Ysym","Size","left","Not-Y-Refl."
"VHCKxQQ8xhDV",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,28,"1: male",NA,"None","Size","left","None"
"Y6ulUeG9RVjY",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,26,"1: male",NA,"not-Ysym","Size","left","Not-Y-Refl."
"YAYKkMa971lC",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,48,"1: male",NA,"None","Size","left","None"
"dFiEk9tCqA4J",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,62,"2: female",NA,"not-Ysym","Size","left","Not-Y-Refl."
"gdQfjEzCmuhl",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,30,"1: male",NA,"not-Ysym","Size","left","Not-Y-Refl."
"gze2WSd4ZQH5",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",0,46,"2: female",NA,"Ysym","Size","left","Y-Refl."
"jgeAOPJ4M2VQ",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,53,"2: female","none","not-Ysym","Size","left","Not-Y-Refl."
"lGHAdSHpiCa8",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,20,"2: female",NA,"not-Ysym","Size","left","Not-Y-Refl."
"ljIg1hQSk03o",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,20,"1: male","I do not believe I came across any errors in the study.","not-Ysym","Size","left","Not-Y-Refl."
"m1a9eQUWN0wU",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",0,48,"2: female","none thank you","Ysym","Size","left","Y-Refl."
"m5Mwg6djWdXv",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,27,"1: male",NA,"not-Ysym","Size","left","Not-Y-Refl."
"uQ24BXOn1sbq",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,64,"1: male",NA,"not-Ysym","Size","left","Not-Y-Refl."
"wGrDdVNBdAy6",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,51,"1: male","none","not-Ysym","Size","left","Not-Y-Refl."
"yGKwsufhqaxn",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,32,"3: non-binary","None","not-Ysym","Size","left","Not-Y-Refl."
"zLDWo94GtNhe",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",2,30,"1: male",NA,"not-Ysym","Size","left","Not-Y-Refl."
"0EmrjTjdcKdN",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,26,"2: female","N/A","not-Ysym","Shape","left","Not-Y-Refl."
"35kV8e7QINIV",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,47,"1: male","No errors or technical issues encountered.","not-Ysym","Shape","left","Not-Y-Refl."
"4z7q0PMyTxos",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,60,"2: female",NA,"not-Ysym","Shape","left","Not-Y-Refl."
"609DpwvLiQwj",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,27,"1: male",NA,"not-Ysym","Shape","left","Not-Y-Refl."
"67Q8HJ3bWA8I",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,33,"2: female",NA,"Ysym","Shape","left","Y-Refl."
"6sjJPjlrAoUD",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,27,"2: female",NA,"not-Ysym","Shape","left","Not-Y-Refl."
"70r1vM8v1xZ0",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,58,"1: male","none","not-Ysym","Shape","left","Not-Y-Refl."
"9dDlRyl9WPYH",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,27,"1: male","I didnt notice any spelling errors whether that was in the scenories or the question to continue. There was not any technical issue. I was able to move onto the next scenorio without an issue. The comparision of photos were easily identified. Wording on the question to continue could be worded better but not a huge difference as i understood it","Ysym","Shape","left","Y-Refl."
"AYCCD1MKCSRE",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,64,"2: female",NA,"not-Ysym","Shape","left","Not-Y-Refl."
"MCVd6FHwBQvQ",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,44,"1: male","n/a","not-Ysym","Shape","left","Not-Y-Refl."
"N2oV9HtTIzrn",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,21,"2: female",NA,"not-Ysym","Shape","left","Not-Y-Refl."
"NFiDgJoVu7qY",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,22,"2: female",NA,"not-Ysym","Shape","left","Not-Y-Refl."
"OOw3MiRmvtYH",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",2,40,"2: female","None","not-Ysym","Shape","left","Not-Y-Refl."
