"subj_code","condition","desktop_conf","attent_conf","Ysym_side","test_stimulus","dv_selection","age","gender","tech_issues","explanation","dv_selection_rec"
"3thmIyDxPeG1",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,26,"2: female","No issues","I chose the shape on the right because it was facing a different direction then the first one on the other screen and it was much bigger in size","not-Ysym"
"7XQo7yDcJdFe",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,30,"1: male","None.","It was bigger, therefore safe to assume its producing more.","not-Ysym"
"8nFbT8gpg08T",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,43,"2: female","none","I think due to its placement and size on the grey rectangle","not-Ysym"
"a8CY9sFMDPIc",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,23,"2: female",NA,"Although the one on the right is bigger, which I did consider, I think it would be emitting a different level of radiation because the image on the left is similar to the first image we were shown","not-Ysym"
"BWdBfwhaaiKX",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,23,"2: female",NA,"the triangle  is bigger and towards the right","not-Ysym"
"dZqInGDjDWvl",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,32,"2: female","I did not see any.","The initial shape looks almost (if not completely) identical to the shape detected at a later stage, on the left, so it's easier to assume they emit similar energies than the one that looks different to them (bigger).","not-Ysym"
"Ew6VgjMD56eo",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",0,50,"2: female","The shape on the drawings is a Triangle not Rectangle","The second would be the 1st grey block which is emetting more alpha rays as the first that was shown was the block on the right","Ysym"
"eZts4jyGyby4",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",1,32,"2: female","none","Its the correct shape but the slant is a different side","None"
"ko7XsvzVAT0O",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",1,43,"2: female","No","It just was not possible to say based on the limited information provided.","None"
"L5KLFcG1t4nP",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,22,"1: male",NA,"the first image taken by the astronauts has the shape fit evenly into the rectangle whereas the second shape took up a much larger space in the rectangle.","not-Ysym"
"nYnOfwlI3Fw6",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,51,"2: female",NA,"Bigger and easier to view...  feels like it was louder","not-Ysym"
"QHfAZRfVPvks",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,34,"2: female",NA,"The shape on the right was bigger therefore I assume giving out bigger readings.","not-Ysym"
"R2qgC4Mkuo7F",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",0,24,"1: male","i came across no errors","we know that objects that look similar often tend to be similar. Hence the decision of me choosing the one that looks more different would be different","Ysym"
"Z77SVIrpDpxK",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,28,"2: female",NA,"The object seemed bigger and possibly emit more alpha rays.","not-Ysym"
"ZcdtJO3p0idN",1,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Big.svg",2,30,"1: male","i did not encounter any errors","because the black shape is larger","not-Ysym"
"1oRejBwu77On",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,56,"2: female",NA,"There were two shapes the same I then presumed the shape that was different transmitted different rays.","not-Ysym"
"71d4EMhhtu0Q",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,61,"2: female","All is good","Simply because the shape on the right was different compared to the other two","not-Ysym"
"7BZpnNgPe5qC",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,22,"1: male","None encountered.","The shape just looked a little more different to the original shape that was said to have been emitting rays.","not-Ysym"
"AF7Fvo9rm8Ny",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,29,"2: female","None","the shape on the left is similiar to the first shape shown","not-Ysym"
"EIwlo8xwrXFN",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,28,"1: male",NA,"Think the one on the left was basically the same shape. The one on the right was more slanted","not-Ysym"
"ekIhNM7IW2Hd",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,22,"2: female",NA,"Because the shape on the right looks different from the shape that was first shown","not-Ysym"
"enbJREEOvAQw",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,22,"2: female",NA,"With the minimal data available, it appears as though there is a logic and order to the layout of the symbols, the intensity of radiation could be connected to the shape in the rectangle. Even if it is equally likely with such a small sample size that the shape and radiation do not correlate and are in fact random, the best guess I could make in the situation was to assume there was some sort of pattern.","not-Ysym"
"fMZUpYnquUo2",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,45,"1: male","none","Mor elikely it was the different shape that had different energy. But not much difference. Not a very scientific choice.","not-Ysym"
"K3WxtxTd1RMV",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,23,"2: female","None, this was an interesting survey to complete.","The shape on the right is a little bit different to the one on the left, in which case the one on the left looks very similar to the one presented on the previous page, just positioned differently.","not-Ysym"
"NSni4w8uktCu",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,66,"1: male","none","the shape","not-Ysym"
"oXFd3TgpLQDw",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,44,"1: male",NA,"It is a different shape to the initial shape","not-Ysym"
"pR348FBOFoBi",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",0,27,"2: female","no errors","As it is facing the opposite direction the rays are most likely to be different","Ysym"
"V1kD24o6LnP1",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,29,"2: female",NA,"The one on the left was the same kind of triangle to the first one, so I figured the other one would be different","not-Ysym"
"V4KkmsrJsHBC",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,23,"2: female","n/a","The object on the right had a different shape compared to the object I saw previously, intuitively this means that since its different its also possible that it emits different alpha rays.","not-Ysym"
"vejgA7ydZ0id",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,82,"2: female",NA,"The shae on the right is of a more regular formation and looks gentler am
nd less severe than the other shapes. This is obviously Not a scientific answer!","not-Ysym"
"vPrHNsri98yQ",2,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Angle.svg",2,29,"1: male",NA,"The chosen shape has no right angle unlike the first shape","not-Ysym"
"0mYBaPbfxu1j",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",0,29,"2: female",NA,"It looks similar to the part A","Ysym"
"7bOJMF4PP87y",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,20,"2: female","None.","The black shape within the wall is placed differently or in a different direction than the initial shape and the one on the left so maybe that affects the intensity of the alpha rays emitted so I therefore went with that decision.","not-Ysym"
"7VCaWWAGPRZN",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,27,"2: female","none","Sideways orientation, whereas the initial shape was vertical. However, the orientation of the shape on the right was simply a rotated version of the first shape, whereas the left shape was a flipped version.

I made my decision based on the orientation.","not-Ysym"
"BtxWk0ePRMbG",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,28,"1: male",NA,"The shape on the left could have possibly been mirrored and different from the first but I couldn't remember precisely. and the shape on the right looked to be offset by 90 degrees from the same plane as the square. Intuitively the one on the right seemed to be more noticeably different without having the first image side by side as a reference.","not-Ysym"
"gxcP9XJZRG0y",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,23,"1: male",NA,"I figured this would make sense to assume that the same pattern is connected with the same radiation.","not-Ysym"
"htGdFrKsOwr2",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,54,"1: male","None.","Per the description and initial photograph of the black shape, the second shape was oriented along an east west axis and thus I assume - maybe incorrectly - that that is the shape that is emitting different alpha-wave radiation.","not-Ysym"
"HwZI4rlg6Egf",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,56,"1: male",NA,"I made the decision solely based on the shape type and orientation.","not-Ysym"
"k5kZXG6XByJW",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",0,41,"2: female",NA,"i chose this one as it the opporsite of the previous image","Ysym"
"kk6FZMf5u3P0",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,61,"2: female","none","Because the one on the right is mainly horizontal.
The one on the left was mainly vertical, as was the very first one.","not-Ysym"
"NvQ8EEWXqOPX",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,23,"2: female",NA,"The right shape has a different position.","not-Ysym"
"PqdFuPUHUBSu",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,20,"2: female",NA,"The left option was a 180 degree flip of the original shape. However the right option was a 90 degree flip and this felt like it would change more.","not-Ysym"
"pxzMPdaAizto",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,36,"2: female","Didn't see any","I'm assuming that the first shape had the initial form of alpha rays, so another shape would have a different form.","not-Ysym"
"QOUPrBlxSY33",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,29,"2: female","no errors noted","The triangle on the left was pointing down so I assumed that was low rays, and the other on the right was pointing a different direction assuming a different type of ray","not-Ysym"
"vh27w1P35ryM",3,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_90_Rotation.svg",2,24,"2: female",NA,"The on the right is positioned in a different way.","not-Ysym"
"2SsMOTqCrZvi",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",1,18,"4: prefer not to say",NA,"SAME SHAPE DIFFERENT DIRECTONS","None"
"9AsavU7TSEWW",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",2,50,"1: male","I saw no errors in the study","The other shape on the right looks different to the first object","not-Ysym"
"9YIwgI55j6DX",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",2,21,"2: female",NA,"The shape on the left is the same shape as the shape that was discovered first. The shape on the right is different to the first image that was shown","not-Ysym"
"as5gzn3zZHLP",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",2,53,"1: male","Everything seemed ok to me. It was clear to understand and the images were good.","The first triangle was pointing downwards and so was the second image but to the right instead of the left. The image on the far right was pointing upwards so I guess it is emitting a different energy than the other 2 downward pointing images. Thats my reasoning in this matter.","not-Ysym"
"ggboKCMHgOc9",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",2,29,"1: male",NA,"Because it's the opposite shape to the one that was shown earlier.","not-Ysym"
"j3oeYzeLJgAD",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",2,21,"1: male","No errors","The shape on the left is the same shape as the shape from the first picture, so it would make sense that the two identical shapes are emitting the same alpha rays. However, the shape on the right is different to the shape from the first picture, so it would make sense that the shape on the right is emitting different alpha rays.","not-Ysym"
"jl9QfHnFUAIx",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",2,26,"1: male",NA,"I feel the shape was the opposite side to the original photo. When both triangles in the photos combine they would make a rectangle and therefor might be a message that they emit the same energy","not-Ysym"
"l9WEQjCXykEV",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",1,31,"2: female",NA,"There wasn't enough information to determine a pattern, for me personally","None"
"o7AEG0whkyzI",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",2,33,"3: non-binary",NA,"I only chose it because it was the opposite of the previous image so I am assuming it will emit different energies.","not-Ysym"
"o8gmba81BRz0",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",2,30,"1: male","None","I was told one of the shapes was emitting the same radiation as the one before, so it implies that the shape that is emitting more radiation is the shape on the right, I.E the different shape.","not-Ysym"
"OJnUkuxp67QM",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",2,28,"2: female",NA,"it was a different shape that the fist image that was shown","not-Ysym"
"QRDpNocAlB2A",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",2,21,"1: male",NA,"Although the left one is backwards, the right one is upside down which is completely different. As it looks more different, I would assume that it emits a different intensity of radiation","not-Ysym"
"qwxE22vcV18M",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",1,49,"2: female",NA,"The shape on the wall was a rectangle but when closer look showed triangle of various shapes and angles. I'm not sure whcich omits more rays","None"
"z1YLrZwq07BD",4,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_180_Rotation.svg",0,30,"1: male",NA,"I used the right side of my brain to interpret this event.","Ysym"
"6BOIli2GVt0V",5,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Symmetry.svg",2,52,"1: male",NA,"One was pointing up and the other down. I guessed that the upward was different","not-Ysym"
"AdmlDU1MGhzj",5,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Symmetry.svg",2,45,"2: female","None","Due to the similarity of shapes","not-Ysym"
"agedobegCQTZ",5,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Symmetry.svg",1,52,"1: male",NA,"I am uncertain. Giving another answer would be guessing.","None"
"H7e7AvO5r7Kg",5,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Symmetry.svg",2,51,"1: male","none","the image on the right was the same as the first image so would expect the same reading","not-Ysym"
"jmYIfuUudcqx",5,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Symmetry.svg",2,30,"2: female",NA,"I chose the right option due to the different orientation of the triangle in the centre of the rectangle. This was the only potential clue, as it was the only visual difference between the two objects.","not-Ysym"
"QLv8a83q0mCy",5,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Symmetry.svg",2,65,"1: male",NA,"You would think the one with the same shape as before would more likely be the same.","not-Ysym"
"toWKZ4sHVh5z",5,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Symmetry.svg",1,30,"2: female",NA,"I have no thoughts or feelings on which one it is, it could really be either one","None"
"Vn6zhFe7Uld5",5,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Symmetry.svg",2,29,"2: female",NA,"I was a different orientation to the original shape","not-Ysym"
"xKPW1fs8JTeQ",5,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Symmetry.svg",0,26,"2: female",NA,"I believe that this was the opposite of the initial image shown","Ysym"
"Yp5Mj3BYOnAt",5,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Symmetry.svg",2,59,"2: female",NA,"i would say it replicated the original shape but in reverse","not-Ysym"
"zabNJCwq2d7t",5,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Symmetry.svg",1,29,"2: female",NA,"The shapes are the same just rotated so it is difficult to tell","None"
"1h6FL1jjdon7",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",2,37,"2: female","None","I think the shape on the right was different. The instructions said a different shape was emitting different radiation. I was just trying to follow the instructions.","not-Ysym"
"82EYbj2BX308",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",2,28,"1: male",NA,"I decided (rather arbitrarily, I might add) that the different orientation of the object meant it was emitting different intensity rays.

I absolutely could see why a person would reason that the left image moved down, so emitted the same rays at a different intensity whereas the right one would be emitting something different.","not-Ysym"
"9G9pdCryCPY6",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",2,25,"1: male",NA,"in the rectangle, the first shape they detected looked exactly like the one of the left (on the next screen), and the one of the right looked different (it was higher up)","not-Ysym"
"9v2mchEcUBxb",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",1,25,"1: male",NA,"The shapes are ""pointing"" the same way, but there's no easy way to tell if up or down would correlate with more alpha rays, so there's no way to know for sure.","None"
"ayHE0OUlf5tk",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",2,37,"2: female",NA,"It is the same shape/pattern.","not-Ysym"
"bCDh8zpDOd5j",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",1,39,"2: female",NA,"I'm not too sure on the answer due to both having the same shape inside the rectangle. There is nothing the separates them by eye.","None"
"D91HD2jw2A4k",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",0,24,"1: male",NA,"It is the opposite of the shape we saw before","Ysym"
"K1pAaaX9Xt5M",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",2,24,"2: female",NA,"The shape on the left was the same as the previous image, whereas the one of the right was different.","not-Ysym"
"KYShn0ArO2Po",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",2,29,"2: female",NA,"I remembered the original triangle as not being a right angle triangle, and therefore when presented with the two right angle triangles I assumed I had not seen the left side properly and therefore chose the option on the right","not-Ysym"
"lOOQbrTAkDtJ",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",0,40,"1: male",NA,"It looked similar as the previous shape, so therefore it probably emitted a similar ray","Ysym"
"ohU172pEZJ7p",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",1,50,"2: female",NA,"I think you need more examples, not just one.","None"
"OIJhHtUHZRyz",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",2,28,"1: male","N/A","I believe the higher the shape the more rays it will omit.","not-Ysym"
"OjdFer0tFitS",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",2,29,"2: female",NA,"Because of the initial shock of the first data, by having a different energy it just made me feel like it was the right one","not-Ysym"
"UPirpTrQ7Nel",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",2,51,"1: male",NA,"triangle is high up","not-Ysym"
"WE7hWyeREfwA",6,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_Y_Translation.svg",0,39,"2: female",NA,"Because of the position of the shape","Ysym"
"0XCMe29WAkH8",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",0,63,"2: female",NA,"It just felt like the left one was different, I do not know why.","Ysym"
"3pL5NJ9ayULa",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",2,33,"2: female","n/a","Due to being much closer to the edge of the rectangle than the two others","not-Ysym"
"3UxWnwokipXx",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",2,45,"2: female",NA,"I felt drawn to the right hand side as if that was the new image.","not-Ysym"
"6bhlkbeYzxWs",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",0,64,"2: female","None","I chose the shape that was opposite to the first shape. I'm assuming that if it is a mirror image of the first shape it will be a different Ray","Ysym"
"84OH48QUw9hQ",7,"1: I confirm","1: I will take it seriously","left","img/2D_Left_Y_Symmetry_X_Translation.svg",0,26,"1: male","None at all.","The first triangle the scientists found was the same shape as the 1/2 of the triangles found afterwards. The other triangle was facing the other way. Therefore, I deduced it was the one with the different/more intense rays.","Ysym"
