"subj_code","condition","desktop_conf","attent_conf","Ysym_side","test_stimulus","dv_selection","age","gender","tech_issues","dv_selection_rec"
"1GAs9gARC4aE",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,57,"2: female",NA,"not_Ysym"
"2aVhUxAzopxd",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,58,"1: male","No issues","not_Ysym"
"2uQx27Bqqqcn",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,35,"1: male","none","not_Ysym"
"3S0o2gHcGdcq",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,44,"2: female",NA,"not_Ysym"
"49ymmsYhH1jC",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,51,"2: female",NA,"not_Ysym"
"5zSgPpLnVaZs",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,33,"2: female",NA,"not_Ysym"
"6mdKrncnnnq2",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,25,"2: female",NA,"not_Ysym"
"9GieMhNebQ8D",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",0,33,"2: female",NA,"Ysym"
"AgY8LJ3IpFZy",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,53,"2: female",NA,"not_Ysym"
"Bg5YNDom5N7O",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,19,"2: female",NA,"not_Ysym"
"cIrGRIGW2dYx",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",0,55,"1: male","No errors","Ysym"
"ERMcoZ2iP3Mq",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",0,33,"2: female","no errors.","Ysym"
"FhiB3sn69tZ4",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,21,"3: non-binary","None","not_Ysym"
"j0ZsSXqDWTvB",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,20,"2: female","slightly complicated wording but no errors i noticed","not_Ysym"
"jNTQkeCKGa28",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,33,"2: female","ASTRONAUTS WERE A MIRROR IMAGE OF EACH OTHER","not_Ysym"
"JYgIdBskI1wh",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,28,"2: female",NA,"not_Ysym"
"l6H4kuCPGdEr",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,47,"2: female",NA,"not_Ysym"
"lYveWew3BjT2",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,33,"2: female",NA,"not_Ysym"
"oGrSvJtPey9w",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,24,"1: male",NA,"not_Ysym"
"OwnFCrAPdAaa",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,41,"1: male",NA,"not_Ysym"
"PaJ0QNPZNFLX",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,40,"1: male",NA,"not_Ysym"
"pPGkZVVrTZ0x",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,31,"2: female",NA,"not_Ysym"
"QB6rZ0lI5nwN",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",0,33,"1: male",NA,"Ysym"
"SM9C9crv7bsT",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,24,"2: female",NA,"not_Ysym"
"TmuQOCTpjTWm",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",0,45,"1: male",NA,"Ysym"
"tngActacWGpB",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,35,"2: female",NA,"not_Ysym"
"UQCRjWy9L3ZD",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,42,"2: female",NA,"not_Ysym"
"xfZEPVwtJZDw",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,33,"1: male",NA,"not_Ysym"
"xgtW20u8sM9k",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,57,"2: female","none","not_Ysym"
"XwihlFZvM3nb",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,31,"1: male","No errors.","not_Ysym"
"Z2W3vwfACSmO",1,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Big.svg",1,35,"1: male",NA,"not_Ysym"
"1U0p2ZhP99v2",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,39,"1: male","No errors.","not_Ysym"
"3DFKFO9PqEOQ",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,42,"1: male",NA,"not_Ysym"
"ACOX4Pfvzs7Z",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,20,"2: female",NA,"not_Ysym"
"AoF3d4biS5oA",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,28,"1: male","no errors","Ysym"
"AS4vD0hpWLnn",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,58,"2: female",NA,"not_Ysym"
"aWYvP28cS0a6",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,35,"2: female",NA,"not_Ysym"
"cbxMzLE6fIu1",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,27,"2: female",NA,"Ysym"
"CuE23iLwgZkC",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,30,"1: male",NA,"not_Ysym"
"CWS3j8KfjquK",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,33,"1: male","in the first picture, it took a while for the astronauts to load","not_Ysym"
"elnvLACDTEgR",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,56,"2: female",NA,"not_Ysym"
"euFzkxFtrggi",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,31,"1: male",NA,"not_Ysym"
"f6lO4PF3izMq",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,38,"1: male",NA,"not_Ysym"
"FeOm8NxDw91f",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,68,"1: male","At first the two spacemen were not visible but then just appeared","not_Ysym"
"fyvpvDJXXG3J",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,32,"2: female",NA,"not_Ysym"
"GuvTgHOj16gQ",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,45,"2: female","No errors occurred.","not_Ysym"
"hoiEzzHbLL3B",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,34,"1: male",NA,"not_Ysym"
"it6MvQ2F4uNz",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,37,"1: male",NA,"not_Ysym"
"jBzAz5SivWq8",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,39,"1: male","N/A","not_Ysym"
"jPsAqbfd7njO",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,40,"1: male",NA,"not_Ysym"
"JTFnuP0DWn2x",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,36,"2: female",NA,"not_Ysym"
"Jwx0cpr9FQEF",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,37,"1: male",NA,"not_Ysym"
"KbxytgsqxyTe",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,51,"1: male",NA,"Ysym"
"kosf0cpvSc7W",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,45,"2: female","none","not_Ysym"
"l88pJx9L9McQ",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,33,"2: female","None","not_Ysym"
"ODA68eaqpl96",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,56,"1: male","No","Ysym"
"ogU4DAK6DeX8",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,22,"1: male",NA,"not_Ysym"
"oQZIZKUvBQmp",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,24,"1: male",NA,"not_Ysym"
"rz7oNKHKFQFy",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,55,"1: male",NA,"not_Ysym"
"S9lOcNGS0cCa",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,26,"1: male",NA,"Ysym"
"uGwBSPTqr0py",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",0,26,"1: male",NA,"Ysym"
"zfjncce7UH7W",2,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_Angle.svg",1,47,"1: male",NA,"not_Ysym"
"0WzneokNyQzg",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",1,25,"2: female","none","not_Ysym"
"22yMf1D3KsQe",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",0,60,"2: female",NA,"Ysym"
"5freMDgtohv0",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",1,38,"2: female",NA,"not_Ysym"
"62PfyvTtuHEY",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",1,34,"2: female",NA,"not_Ysym"
"6CDXyYSw2gXX",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",1,59,"1: male","None","not_Ysym"
"9PVgQMgPjTuH",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",1,36,"2: female","None","not_Ysym"
"aatYwZRdbHYC",3,"1: I confirm","1: I will take it seriously","left","img/Left_Y_Symmetry_X_Rotation.svg",1,23,"1: male",NA,"not_Ysym"
